Date,Day,Month,Year,IMF_1,IMF_2,IMF_3,IMF_4,IMF_5,IMF_6
1/1/2004,1,1,2004,-0.698,-0.224,-0.45,-0.565,0.97,1.567
1/2/2004,2,1,2004,-0.644,-0.152,-0.476,-0.608,1.002,1.577
1/3/2004,3,1,2004,-0.599,0.03,-0.494,-0.658,1.032,1.589
1/4/2004,4,1,2004,-0.553,0.309,-0.497,-0.719,1.059,1.601
1/5/2004,5,1,2004,-0.477,0.65,-0.48,-0.79,1.083,1.615
1/6/2004,6,1,2004,-0.315,0.994,-0.44,-0.873,1.104,1.629
1/7/2004,7,1,2004,-0.014,1.284,-0.372,-0.964,1.121,1.644
1/8/2004,8,1,2004,0.701,1.443,-0.276,-1.063,1.135,1.661
1/9/2004,9,1,2004,0.785,1.409,-0.151,-1.165,1.145,1.677
1/10/2004,10,1,2004,0.377,1.144,0,-1.266,1.15,1.695
1/11/2004,11,1,2004,0.406,0.723,0.17,-1.364,1.151,1.714
1/12/2004,12,1,2004,0.032,0.29,0.353,-1.454,1.147,1.733
1/13/2004,13,1,2004,0.18,-0.175,0.538,-1.534,1.138,1.753
1/14/2004,14,1,2004,-0.614,-0.604,0.72,-1.599,1.123,1.774
1/15/2004,15,1,2004,-0.729,-0.911,0.889,-1.647,1.103,1.795
1/16/2004,16,1,2004,-0.607,-1.052,1.038,-1.673,1.077,1.818
1/17/2004,17,1,2004,-0.091,-1.076,1.156,-1.674,1.045,1.841
1/18/2004,18,1,2004,0.641,-0.988,1.224,-1.647,1.006,1.864
1/19/2004,19,1,2004,0.155,-0.836,1.22,-1.589,0.961,1.888
1/20/2004,20,1,2004,-0.441,-0.608,1.126,-1.501,0.911,1.913
1/21/2004,21,1,2004,-0.137,-0.295,0.923,-1.385,0.855,1.939
1/22/2004,22,1,2004,0.206,-0.018,0.595,-1.242,0.795,1.965
1/23/2004,23,1,2004,-0.114,0.136,0.133,-1.075,0.729,1.991
1/24/2004,24,1,2004,0.053,0.082,-0.428,-0.885,0.659,2.018
1/25/2004,25,1,2004,-0.037,-0.018,-1.003,-0.673,0.585,2.046
1/26/2004,26,1,2004,-0.007,0.064,-1.497,-0.443,0.508,2.074
1/27/2004,27,1,2004,-0.12,0.188,-1.804,-0.194,0.427,2.103
1/28/2004,28,1,2004,-0.281,-0.033,-1.831,0.069,0.343,2.132
2/2/2004,2,2,2004,,,,,,
3/2/2004,2,2,2004,,,,,,
2/4/2004,4,2,2004,,,,,,
2/5/2004,5,2,2004,,,,,,
2/6/2004,6,2,2004,,,,,,
2/7/2004,7,2,2004,,,,,,
2/8/2004,8,2,2004,,,,,,
2/9/2004,9,2,2004,,,,,,
2/10/2004,10,2,2004,,,,,,
2/11/2004,11,2,2004,,,,,,
2/12/2004,12,2,2004,,,,,,
2/13/2004,13,2,2004,,,,,,
2/14/2004,14,2,2004,,,,,,
2/15/2004,15,2,2004,,,,,,
2/16/2004,16,2,2004,,,,,,
2/17/2004,17,2,2004,,,,,,
2/18/2004,18,2,2004,,,,,,
2/19/2004,19,2,2004,,,,,,
2/20/2004,20,2,2004,0.394,-0.748,-1.607,0.344,0.257,2.162
2/21/2004,21,2,2004,0.872,-1.463,-1.191,0.622,0.168,2.191
2/22/2004,22,2,2004,0.147,-1.603,-0.642,0.899,0.078,2.222
2/23/2004,23,2,2004,-1.429,-0.844,-0.032,1.167,-0.014,2.253
2/24/2004,24,2,2004,1.666,0.766,0.572,1.421,-0.108,2.284
2/25/2004,25,2,2004,0.712,2.42,1.101,1.654,-0.202,2.315
2/26/2004,26,2,2004,-1.898,3.4,1.487,1.86,-0.297,2.347
2/27/2004,27,2,2004,-2.131,3.237,1.674,2.033,-0.391,2.379
2/28/2004,28,2,2004,-0.793,1.648,1.654,2.166,-0.486,2.412
2/29/2004,29,2,2004,2.122,-0.914,1.473,2.254,-0.58,2.444
3/2/2004,2,3,2004,,,,,,
3/3/2004,3,3,2004,,,,,,
3/4/2004,4,3,2004,,,,,,
3/5/2004,5,3,2004,,,,,,
3/6/2004,6,3,2004,,,,,,
3/7/2004,7,3,2004,,,,,,
3/8/2004,8,3,2004,,,,,,
3/9/2004,9,3,2004,,,,,,
3/10/2004,10,3,2004,,,,,,
3/11/2004,11,3,2004,,,,,,
3/12/2004,12,3,2004,,,,,,
3/13/2004,13,3,2004,,,,,,
3/14/2004,14,3,2004,,,,,,
3/15/2004,15,3,2004,,,,,,
3/16/2004,16,3,2004,,,,,,
3/17/2004,17,3,2004,,,,,,
3/18/2004,18,3,2004,,,,,,
3/19/2004,19,3,2004,,,,,,
3/20/2004,20,3,2004,-1.965,-3.216,1.178,2.299,-0.674,2.477
3/21/2004,21,3,2004,-0.359,-4.205,0.817,2.302,-0.766,2.51
3/22/2004,22,3,2004,0.34,-3.825,0.432,2.265,-0.856,2.544
3/23/2004,23,3,2004,0.053,-2.426,0.05,2.19,-0.944,2.577
3/24/2004,24,3,2004,1.288,-0.644,-0.305,2.079,-1.029,2.611
3/25/2004,25,3,2004,1.859,0.981,-0.609,1.934,-1.111,2.645
3/26/2004,26,3,2004,0.868,2.023,-0.838,1.756,-1.189,2.679
3/27/2004,27,3,2004,0.253,2.517,-0.969,1.549,-1.263,2.713
3/28/2004,28,3,2004,0.187,2.567,-0.982,1.313,-1.332,2.747
3/29/2004,29,3,2004,0.381,2.262,-0.879,1.052,-1.396,2.782
3/30/2004,30,3,2004,0.363,1.691,-0.684,0.769,-1.455,2.816
3/31/2004,31,3,2004,0.405,1.006,-0.424,0.471,-1.507,2.851
4/2/2004,2,4,2004,-1.486,0.319,-0.127,0.162,-1.553,2.885
4/3/2004,3,4,2004,-0.998,-0.258,0.178,-0.15,-1.592,2.919
4/4/2004,4,4,2004,-0.592,-0.642,0.459,-0.455,-1.623,2.954
4/5/2004,5,4,2004,-0.459,-0.723,0.687,-0.748,-1.646,2.988
4/6/2004,6,4,2004,-0.566,-0.42,0.846,-1.022,-1.661,3.022
4/7/2004,7,4,2004,-0.947,0.099,0.932,-1.274,-1.666,3.057
4/8/2004,8,4,2004,0.75,0.376,0.947,-1.501,-1.662,3.091
4/9/2004,9,4,2004,-0.625,0.154,0.898,-1.703,-1.649,3.125
4/10/2004,10,4,2004,0.035,-0.188,0.797,-1.878,-1.624,3.158
4/11/2004,11,4,2004,0.327,-0.263,0.659,-2.025,-1.589,3.192
4/12/2004,12,4,2004,0.084,-0.02,0.496,-2.143,-1.543,3.226
4/13/2004,13,4,2004,-0.087,0.339,0.305,-2.231,-1.485,3.259
4/14/2004,14,4,2004,0.02,0.608,0.081,-2.286,-1.415,3.292
4/15/2004,15,4,2004,-0.055,0.75,-0.179,-2.307,-1.334,3.325
4/16/2004,16,4,2004,-0.023,0.864,-0.464,-2.293,-1.243,3.358
4/17/2004,17,4,2004,-0.146,0.996,-0.76,-2.239,-1.141,3.39
4/18/2004,18,4,2004,-0.193,1.093,-1.047,-2.145,-1.03,3.422
4/19/2004,19,4,2004,-0.292,1.16,-1.304,-2.008,-0.911,3.454
4/20/2004,20,4,2004,-0.443,1.177,-1.509,-1.827,-0.784,3.486
4/21/2004,21,4,2004,-0.074,1.148,-1.637,-1.604,-0.651,3.517
4/22/2004,22,4,2004,-0.072,1.041,-1.66,-1.345,-0.512,3.548
4/23/2004,23,4,2004,0.544,0.76,-1.556,-1.059,-0.368,3.579
4/24/2004,24,4,2004,0.738,0.144,-1.315,-0.756,-0.22,3.609
