Date,Day,Month,Year,IMF_1,IMF_2,IMF_3,IMF_4,IMF_5
2010-01-01,1,1,2010,-0.043,0.006,0.082,-1.5,2.854
2010-01-02,2,1,2010,-0.253,0.002,0.099,-1.51,2.862
2010-01-03,3,1,2010,-0.175,0.025,0.103,-1.521,2.869
2010-01-04,4,1,2010,-0.1,0.061,0.096,-1.535,2.877
2010-01-05,5,1,2010,-0.002,0.084,0.082,-1.55,2.886
2010-01-06,6,1,2010,0.143,0.063,0.065,-1.565,2.895
2010-01-07,7,1,2010,-0.044,-0.023,0.045,-1.582,2.904
2010-01-08,8,1,2010,-0.025,-0.114,0.024,-1.598,2.913
2010-01-09,9,1,2010,-0.075,-0.136,0.003,-1.615,2.923
2010-01-10,10,1,2010,0.091,-0.076,-0.018,-1.631,2.933
2010-01-11,11,1,2010,-0.11,0.05,-0.037,-1.646,2.944
2010-01-12,12,1,2010,0.121,0.142,-0.056,-1.661,2.955
2010-01-13,13,1,2010,-0.12,0.101,-0.073,-1.673,2.966
2010-01-14,14,1,2010,0.107,-0.016,-0.084,-1.684,2.977
2010-01-15,15,1,2010,0.064,-0.079,-0.081,-1.693,2.989
2010-01-16,16,1,2010,-0.059,-0.083,-0.059,-1.7,3.001
2010-01-17,17,1,2010,0.03,-0.021,-0.017,-1.704,3.013
2010-01-18,18,1,2010,0.001,0.046,0.034,-1.706,3.026
2010-01-19,19,1,2010,0.039,0.044,0.085,-1.706,3.039
2010-01-20,20,1,2010,-0.056,-0.016,0.124,-1.704,3.052
2010-01-21,21,1,2010,0.067,-0.071,0.137,-1.699,3.065
2010-01-22,22,1,2010,-0.07,-0.034,0.117,-1.692,3.079
2010-01-23,23,1,2010,0.066,0.057,0.066,-1.682,3.093
2010-01-24,24,1,2010,-0.071,0.142,-0.007,-1.672,3.107
2010-01-25,25,1,2010,0.1,0.232,-0.093,-1.66,3.121
2010-01-26,26,1,2010,-0.169,0.366,-0.186,-1.647,3.135
2010-01-27,27,1,2010,-0.05,0.511,-0.276,-1.635,3.15
