Date,Day,Month,Year,IMF_1,IMF_2,IMF_3,IMF_4
2012-01-01,1,1,2012,,,,
2012-01-02,2,1,2012,,,,
2012-01-03,3,1,2012,,,,
2012-01-04,4,1,2012,,,,
2012-01-05,5,1,2012,,,,
2012-01-06,6,1,2012,,,,
2012-01-07,7,1,2012,,,,
2012-01-08,8,1,2012,,,,
2012-01-09,9,1,2012,,,,
2012-01-10,10,1,2012,,,,
2012-01-11,11,1,2012,,,,
2012-01-12,12,1,2012,,,,
2012-01-13,13,1,2012,,,,
2012-01-14,14,1,2012,,,,
2012-01-15,15,1,2012,,,,
2012-01-16,16,1,2012,,,,
2012-01-17,17,1,2012,,,,
2012-01-18,18,1,2012,,,,
2012-01-19,19,1,2012,,,,
2012-01-20,20,1,2012,,,,
2012-01-21,21,1,2012,,,,
2012-01-22,22,1,2012,,,,
2012-01-23,23,1,2012,,,,
2012-01-24,24,1,2012,,,,
2012-01-25,25,1,2012,,,,
2012-01-26,26,1,2012,,,,
2012-01-27,27,1,2012,,,,
2012-01-28,28,1,2012,,,,
2012-01-29,29,1,2012,,,,
2012-01-30,30,1,2012,,,,
2012-01-31,31,1,2012,,,,
2012-02-01,1,2,2012,0.437,-0.921,-1.237,2.32
2012-02-02,2,2,2012,1.288,-1.07,-1.298,2.33
2012-02-03,3,2,2012,2.503,-1.073,-1.331,2.351
2012-02-04,4,2,2012,,,,
2012-02-05,5,2,2012,,,,
2012-02-06,6,2,2012,,,,
2012-02-07,7,2,2012,,,,
2012-02-08,8,2,2012,,,,
2012-02-09,9,2,2012,1.258,-0.906,-1.334,2.382
2012-02-10,10,2,2012,0.214,-0.604,-1.31,2.424
2012-02-11,11,2,2012,-0.486,-0.227,-1.263,2.476
2012-02-12,12,2,2012,,,,
2012-02-13,13,2,2012,,,,
2012-02-14,14,2,2012,,,,
2012-02-15,15,2,2012,-1.511,0.173,-1.198,2.536
2012-02-16,16,2,2012,-2.017,0.533,-1.121,2.604
2012-02-17,17,2,2012,-1.183,0.787,-1.034,2.679
2012-02-18,18,2,2012,,,,
2012-02-19,19,2,2012,,,,
2012-02-20,20,2,2012,1.243,0.814,-0.942,2.76
2012-02-21,21,2,2012,0.941,0.513,-0.85,2.847
2012-02-22,22,2,2012,-0.325,0.045,-0.757,2.937
2012-02-23,23,2,2012,,,,
2012-02-24,24,2,2012,,,,
2012-02-25,25,2,2012,,,,
2012-02-26,26,2,2012,,,,
2012-02-27,27,2,2012,,,,
2012-02-28,28,2,2012,,,,
2012-02-29,29,2,2012,,,,
2012-03-01,1,3,2012,,,,
2012-03-02,2,3,2012,-0.157,-0.411,-0.663,3.031
2012-03-03,3,3,2012,0.0,-0.563,-0.565,3.128
2012-03-04,4,3,2012,-0.447,-0.216,-0.463,3.226
2012-03-05,5,3,2012,,,,
2012-03-06,6,3,2012,,,,
2012-03-07,7,3,2012,,,,
2012-03-08,8,3,2012,,,,
2012-03-09,9,3,2012,0.744,0.285,-0.355,3.325
2012-03-10,10,3,2012,-0.618,0.532,-0.239,3.424
2012-03-11,11,3,2012,-1.022,0.512,-0.113,3.522
2012-03-12,12,3,2012,,,,
2012-03-13,13,3,2012,,,,
2012-03-14,14,3,2012,,,,
2012-03-15,15,3,2012,,,,
2012-03-16,16,3,2012,-0.654,0.312,0.024,3.618
2012-03-17,17,3,2012,0.218,0.004,0.166,3.712
2012-03-18,18,3,2012,0.565,-0.37,0.304,3.802
2012-03-19,19,3,2012,,,,
2012-03-20,20,3,2012,,,,
2012-03-21,21,3,2012,,,,
2012-03-22,22,3,2012,,,,
2012-03-23,23,3,2012,0.358,-0.771,0.426,3.887
2012-03-24,24,3,2012,-0.492,-1.096,0.521,3.967
2012-03-25,25,3,2012,-0.404,-1.216,0.579,4.041
2012-03-26,26,3,2012,,,,
2012-03-27,27,3,2012,,,,
2012-03-28,28,3,2012,,,,
2012-03-29,29,3,2012,,,,
2012-03-30,30,3,2012,-0.394,-0.91,0.596,4.108
2012-03-31,31,3,2012,-1.289,-0.054,0.576,4.167
2012-04-01,1,4,2012,-2.164,1.026,0.521,4.217
2012-04-02,2,4,2012,,,,
2012-04-03,3,4,2012,,,,
2012-04-04,4,4,2012,,,,
2012-04-05,5,4,2012,,,,
2012-04-06,6,4,2012,,,,
2012-04-07,7,4,2012,,,,
2012-04-08,8,4,2012,2.177,1.933,0.433,4.257
2012-04-09,9,4,2012,2.315,2.182,0.316,4.288
