Date,Day,Month,Year,IMF_1,IMF_2,IMF_3,IMF_4,IMF_5,IMF_6,IMF_7,IMF_8
2002-01-01,1,1,2002,-0.005,-0.001,0.111,-0.051,-1.666,0.103,-2.048,3.556
2002-01-02,2,1,2002,0.005,-0.008,0.066,-0.01,-1.664,0.106,-2.05,3.556
2002-01-03,3,1,2002,0.006,-0.008,0.022,0.029,-1.661,0.109,-2.053,3.556
2002-01-04,4,1,2002,-0.009,0.007,-0.019,0.068,-1.659,0.112,-2.056,3.556
2002-01-05,5,1,2002,0.002,-0.005,-0.057,0.104,-1.657,0.115,-2.059,3.556
2002-01-06,6,1,2002,0.003,-0.007,-0.09,0.136,-1.655,0.118,-2.061,3.556
2002-01-07,7,1,2002,0.002,-0.009,-0.115,0.161,-1.653,0.121,-2.064,3.556
2002-01-08,8,1,2002,-0.003,-0.007,-0.13,0.178,-1.651,0.124,-2.067,3.556
2002-01-09,9,1,2002,-0.001,-0.005,-0.141,0.183,-1.65,0.127,-2.069,3.556
2002-01-10,10,1,2002,0.014,-0.011,-0.143,0.175,-1.649,0.13,-2.072,3.556
2002-01-11,11,1,2002,0.001,-0.005,-0.113,0.151,-1.648,0.133,-2.074,3.556
2002-01-12,12,1,2002,-0.001,-0.045,-0.037,0.115,-1.648,0.136,-2.077,3.556
2002-01-13,13,1,2002,-0.003,-0.103,0.064,0.072,-1.646,0.139,-2.079,3.556
2002-01-14,14,1,2002,0.011,-0.173,0.164,0.026,-1.644,0.141,-2.081,3.556
2002-01-15,15,1,2002,-0.006,-0.191,0.241,-0.02,-1.641,0.144,-2.084,3.556
2002-01-16,16,1,2002,-0.013,-0.182,0.276,-0.06,-1.637,0.147,-2.086,3.556
2002-01-17,17,1,2002,-0.018,-0.124,0.248,-0.09,-1.632,0.15,-2.088,3.556
2002-01-18,18,1,2002,-0.002,-0.029,0.151,-0.112,-1.625,0.152,-2.09,3.556
2002-01-19,19,1,2002,0.003,0.124,-0.003,-0.125,-1.617,0.155,-2.092,3.556
2002-01-20,20,1,2002,-0.014,0.324,-0.193,-0.13,-1.606,0.158,-2.095,3.556
2002-01-21,21,1,2002,-0.047,0.535,-0.389,-0.126,-1.593,0.16,-2.097,3.556
2002-01-22,22,1,2002,-0.1,0.736,-0.563,-0.115,-1.578,0.163,-2.099,3.556
2002-01-23,23,1,2002,-0.114,0.837,-0.686,-0.097,-1.56,0.165,-2.101,3.556
2002-01-24,24,1,2002,-0.045,0.772,-0.738,-0.072,-1.538,0.168,-2.103,3.556
2002-01-25,25,1,2002,0.168,0.48,-0.714,-0.041,-1.514,0.17,-2.104,3.556
2002-01-26,26,1,2002,0.47,0.017,-0.616,-0.007,-1.485,0.172,-2.106,3.556
2002-01-27,27,1,2002,0.731,-0.486,-0.443,0.029,-1.454,0.175,-2.108,3.556
2002-01-28,28,1,2002,0.813,-0.888,-0.195,0.065,-1.418,0.177,-2.11,3.556
2002-01-29,29,1,2002,0.538,-1.005,0.125,0.097,-1.378,0.179,-2.112,3.556
2002-01-30,30,1,2002,-0.137,-0.772,0.493,0.124,-1.333,0.181,-2.113,3.556
2002-01-31,31,1,2002,-1.075,-0.263,0.854,0.144,-1.284,0.183,-2.115,3.556
2002-01-02,1,2,2002,,,,,,,,
2002-02-02,2,2,2002,,,,,,,,
2002-02-03,3,2,2002,,,,,,,,
2002-02-04,4,2,2002,,,,,,,,
2002-02-05,5,2,2002,,,,,,,,
2002-02-06,6,2,2002,,,,,,,,
2002-02-07,7,2,2002,,,,,,,,
