Date,Day,Month,Year,Max
1/1/2012,1,1,2012,
1/2/2012,2,1,2012,
1/3/2012,3,1,2012,
1/4/2012,4,1,2012,
1/5/2012,5,1,2012,
1/6/2012,6,1,2012,
1/7/2012,7,1,2012,
1/8/2012,8,1,2012,
1/9/2012,9,1,2012,
1/10/2012,10,1,2012,
1/11/2012,11,1,2012,
1/12/2012,12,1,2012,
1/13/2012,13,1,2012,
1/14/2012,14,1,2012,
1/15/2012,15,1,2012,
1/16/2012,16,1,2012,
1/17/2012,17,1,2012,
1/18/2012,18,1,2012,
1/19/2012,19,1,2012,
1/20/2012,20,1,2012,
1/21/2012,21,1,2012,
1/22/2012,22,1,2012,
1/23/2012,23,1,2012,
1/24/2012,24,1,2012,
1/25/2012,25,1,2012,
1/26/2012,26,1,2012,
1/27/2012,27,1,2012,
1/28/2012,28,1,2012,
1/29/2012,29,1,2012,
1/30/2012,30,1,2012,
1/31/2012,31,1,2012,
2/1/2012,1,2,2012,0.6
2/2/2012,2,2,2012,1.25
2/3/2012,3,2,2012,2.45
2/4/2012,4,2,2012,
2/5/2012,5,2,2012,
2/6/2012,6,2,2012,
2/7/2012,7,2,2012,
2/8/2012,8,2,2012,
2/9/2012,9,2,2012,1.4
2/10/2012,10,2,2012,0.7
2/11/2012,11,2,2012,0.5
2/12/2012,12,2,2012,
2/13/2012,13,2,2012,
2/14/2012,14,2,2012,
2/15/2012,15,2,2012,0
2/16/2012,16,2,2012,0
2/17/2012,17,2,2012,1.25
2/18/2012,18,2,2012,
2/19/2012,19,2,2012,
2/20/2012,20,2,2012,3.9
2/21/2012,21,2,2012,3.5
2/22/2012,22,2,2012,1.9
2/23/2012,23,2,2012,
2/24/2012,24,2,2012,
2/25/2012,25,2,2012,
2/26/2012,26,2,2012,
2/27/2012,27,2,2012,
2/28/2012,28,2,2012,
2/29/2012,29,2,2012,
3/1/2012,1,3,2012,
3/2/2012,2,3,2012,1.8
3/3/2012,3,3,2012,2
3/4/2012,4,3,2012,2.1
3/5/2012,5,3,2012,
3/6/2012,6,3,2012,
3/7/2012,7,3,2012,
3/8/2012,8,3,2012,
3/9/2012,9,3,2012,4
3/10/2012,10,3,2012,3.1
3/11/2012,11,3,2012,2.9
3/12/2012,12,3,2012,
3/13/2012,13,3,2012,
3/14/2012,14,3,2012,
3/15/2012,15,3,2012,
3/16/2012,16,3,2012,3.3
3/17/2012,17,3,2012,4.1
3/18/2012,18,3,2012,4.3
3/19/2012,19,3,2012,
3/20/2012,20,3,2012,
3/21/2012,21,3,2012,
3/22/2012,22,3,2012,
3/23/2012,23,3,2012,3.9
3/24/2012,24,3,2012,2.9
3/25/2012,25,3,2012,3
3/26/2012,26,3,2012,
3/27/2012,27,3,2012,
3/28/2012,28,3,2012,
3/29/2012,29,3,2012,
3/30/2012,30,3,2012,3.4
3/31/2012,31,3,2012,3.4
4/1/2012,1,4,2012,3.6
4/2/2012,2,4,2012,
4/3/2012,3,4,2012,
4/4/2012,4,4,2012,
4/5/2012,5,4,2012,
4/6/2012,6,4,2012,
